OrderID,OrderDate,CustomerID,ProductID,ProductName,Category,Region,UnitsSold,UnitPrice,Discount,Cost,SalesAmount,GrossProfit
O10001,2023-01-01,C1052,P221,Product 22,Office Supplies,West,7,26.26,0.0,15.92,183.82,72.38
O10002,2023-01-01,C1049,P208,Product 9,Office Supplies,West,19,118.51,0.1,86.83,2026.52,376.75
O10003,2023-01-01,C1051,P226,Product 27,Office Supplies,East,18,127.24,0.0,100.11,2290.32,488.34
O10004,2023-01-01,C1041,P206,Product 7,Electronics,East,3,235.09,0.0,103.91,705.27,393.54
O10005,2023-01-01,C1034,P216,Product 17,Electronics,West,14,370.37,0.0,147.09,5185.18,3125.92
O10006,2023-01-01,C1036,P211,Product 12,Office Supplies,East,13,437.23,0.0,150.23,5683.99,3731.0
O10007,2023-01-01,C1022,P210,Product 11,Software,North,8,111.71,0.0,77.24,893.68,275.76
O10008,2023-01-02,C1021,P214,Product 15,Electronics,West,17,367.76,0.0,169.05,6251.92,3378.07
O10009,2023-01-02,C1015,P224,Product 25,Office Supplies,South,13,570.22,0.0,191.49,7412.86,4923.49
O10010,2023-01-02,C1001,P212,Product 13,Furniture,North,10,54.4,0.05,27.16,516.8,245.2
O10011,2023-01-02,C1058,P202,Product 3,Office Supplies,South,10,97.88,0.15,36.6,831.98,465.98
O10012,2023-01-02,C1031,P222,Product 23,Software,West,13,84.86,0.0,40.78,1103.18,573.04
O10013,2023-01-02,C1028,P202,Product 3,Office Supplies,East,7,97.88,0.0,36.6,685.16,428.96
O10014,2023-01-02,C1055,P216,Product 17,Electronics,South,12,370.37,0.0,147.09,4444.44,2679.36
O10015,2023-01-02,C1029,P211,Product 12,Office Supplies,South,15,437.23,0.0,150.23,6558.45,4305.0
O10016,2023-01-03,C1048,P206,Product 7,Electronics,North,5,235.09,0.0,103.91,1175.45,655.9
O10017,2023-01-04,C1049,P212,Product 13,Furniture,West,14,54.4,0.0,27.16,761.6,381.36
O10018,2023-01-04,C1024,P203,Product 4,Furniture,South,18,477.65,0.0,181.0,8597.7,5339.7
O10019,2023-01-04,C1014,P215,Product 16,Furniture,South,1,215.0,0.1,77.58,193.5,115.92
O10020,2023-01-05,C1003,P214,Product 15,Electronics,North,17,367.76,0.0,169.05,6251.92,3378.07
O10021,2023-01-05,C1042,P225,Product 26,Furniture,West,5,213.13,0.0,73.51,1065.65,698.1
O10022,2023-01-05,C1045,P227,Product 28,Electronics,East,6,59.97,0.15,24.28,305.85,160.17
O10023,2023-01-05,C1033,P223,Product 24,Software,South,11,31.6,0.1,19.77,312.84,95.37
O10024,2023-01-05,C1019,P206,Product 7,Electronics,East,4,235.09,0.0,103.91,940.36,524.72
O10025,2023-01-05,C1009,P221,Product 22,Office Supplies,East,19,26.26,0.0,15.92,498.94,196.46
O10026,2023-01-06,C1002,P201,Product 2,Software,West,9,80.89,0.0,49.22,728.01,285.03
O10027,2023-01-06,C1053,P223,Product 24,Software,West,6,31.6,0.05,19.77,180.12,61.5
O10028,2023-01-06,C1019,P214,Product 15,Electronics,East,17,367.76,0.0,169.05,6251.92,3378.07
O10029,2023-01-07,C1017,P216,Product 17,Electronics,West,10,370.37,0.0,147.09,3703.7,2232.8
O10030,2023-01-07,C1031,P229,Product 30,Electronics,West,17,214.73,0.0,140.8,3650.41,1256.81
O10031,2023-01-08,C1046,P205,Product 6,Office Supplies,West,13,209.71,0.0,124.1,2726.23,1112.93
O10032,2023-01-08,C1036,P224,Product 25,Office Supplies,East,9,570.22,0.05,191.49,4875.38,3151.97
O10033,2023-01-08,C1002,P201,Product 2,Software,West,11,80.89,0.05,49.22,845.3,303.88
O10034,2023-01-08,C1033,P227,Product 28,Electronics,South,9,59.97,0.0,24.28,539.73,321.21
O10035,2023-01-08,C1039,P211,Product 12,Office Supplies,South,10,437.23,0.05,150.23,4153.69,2651.39
O10036,2023-01-08,C1033,P224,Product 25,Office Supplies,South,5,570.22,0.0,191.49,2851.1,1893.65
O10037,2023-01-09,C1047,P205,Product 6,Office Supplies,North,8,209.71,0.0,124.1,1677.68,684.88
O10038,2023-01-09,C1059,P225,Product 26,Furniture,South,18,213.13,0.0,73.51,3836.34,2513.16
O10039,2023-01-09,C1012,P215,Product 16,Furniture,East,13,215.0,0.05,77.58,2655.25,1646.71
O10040,2023-01-09,C1028,P217,Product 18,Software,East,8,311.91,0.05,117.62,2370.52,1429.56
O10041,2023-01-10,C1033,P225,Product 26,Furniture,South,3,213.13,0.0,73.51,639.39,418.86
O10042,2023-01-10,C1005,P207,Product 8,Office Supplies,North,13,339.87,0.0,183.74,4418.31,2029.69
O10043,2023-01-10,C1027,P223,Product 24,Software,North,19,31.6,0.05,19.77,570.38,194.75
O10044,2023-01-10,C1042,P226,Product 27,Office Supplies,West,16,127.24,0.0,100.11,2035.84,434.08
O10045,2023-01-12,C1026,P224,Product 25,Office Supplies,East,10,570.22,0.0,191.49,5702.2,3787.3
O10046,2023-01-12,C1044,P227,Product 28,Electronics,North,7,59.97,0.05,24.28,398.8,228.84
O10047,2023-01-12,C1041,P225,Product 26,Furniture,East,19,213.13,0.05,73.51,3847.0,2450.31
O10048,2023-01-13,C1035,P210,Product 11,Software,East,7,111.71,0.0,77.24,781.97,241.29
O10049,2023-01-13,C1011,P201,Product 2,Software,West,14,80.89,0.0,49.22,1132.46,443.38
O10050,2023-01-14,C1048,P201,Product 2,Software,North,13,80.89,0.0,49.22,1051.57,411.71
O10051,2023-01-14,C1033,P208,Product 9,Office Supplies,South,17,118.51,0.0,86.83,2014.67,538.56
O10052,2023-01-14,C1005,P227,Product 28,Electronics,North,13,59.97,0.0,24.28,779.61,463.97
O10053,2023-01-15,C1031,P229,Product 30,Electronics,West,7,214.73,0.0,140.8,1503.11,517.51
O10054,2023-01-15,C1028,P201,Product 2,Software,East,15,80.89,0.1,49.22,1092.01,353.71
O10055,2023-01-15,C1035,P221,Product 22,Office Supplies,East,4,26.26,0.0,15.92,105.04,41.36
O10056,2023-01-15,C1016,P203,Product 4,Furniture,West,17,477.65,0.0,181.0,8120.05,5043.05
O10057,2023-01-15,C1055,P209,Product 10,Office Supplies,South,1,309.61,0.0,108.59,309.61,201.02
O10058,2023-01-15,C1046,P217,Product 18,Software,West,18,311.91,0.15,117.62,4772.22,2655.06
O10059,2023-01-15,C1034,P228,Product 29,Electronics,West,12,253.39,0.0,88.43,3040.68,1979.52
O10060,2023-01-15,C1010,P219,Product 20,Software,East,12,459.87,0.0,188.0,5518.44,3262.44
O10061,2023-01-16,C1050,P205,Product 6,Office Supplies,North,15,209.71,0.0,124.1,3145.65,1284.15
O10062,2023-01-17,C1028,P225,Product 26,Furniture,East,2,213.13,0.0,73.51,426.26,279.24
O10063,2023-01-17,C1040,P203,Product 4,Furniture,West,17,477.65,0.0,181.0,8120.05,5043.05
O10064,2023-01-17,C1028,P206,Product 7,Electronics,East,15,235.09,0.0,103.91,3526.35,1967.7
O10065,2023-01-18,C1019,P219,Product 20,Software,East,2,459.87,0.0,188.0,919.74,543.74
O10066,2023-01-18,C1016,P221,Product 22,Office Supplies,West,11,26.26,0.0,15.92,288.86,113.74
O10067,2023-01-18,C1028,P229,Product 30,Electronics,East,12,214.73,0.0,140.8,2576.76,887.16
O10068,2023-01-19,C1019,P214,Product 15,Electronics,East,16,367.76,0.05,169.05,5589.95,2885.15
O10069,2023-01-20,C1000,P218,Product 19,Office Supplies,East,5,203.65,0.15,85.36,865.51,438.71
O10070,2023-01-20,C1034,P225,Product 26,Furniture,West,6,213.13,0.0,73.51,1278.78,837.72
O10071,2023-01-21,C1043,P224,Product 25,Office Supplies,East,12,570.22,0.0,191.49,6842.64,4544.76
O10072,2023-01-21,C1028,P207,Product 8,Office Supplies,East,14,339.87,0.0,183.74,4758.18,2185.82
O10073,2023-01-21,C1045,P220,Product 21,Electronics,East,8,278.07,0.0,101.91,2224.56,1409.28
O10074,2023-01-21,C1043,P217,Product 18,Software,East,7,311.91,0.0,117.62,2183.37,1360.03
O10075,2023-01-22,C1014,P223,Product 24,Software,South,3,31.6,0.0,19.77,94.8,35.49
O10076,2023-01-22,C1043,P229,Product 30,Electronics,East,14,214.73,0.0,140.8,3006.22,1035.02
O10077,2023-01-23,C1021,P205,Product 6,Office Supplies,West,16,209.71,0.0,124.1,3355.36,1369.76
O10078,2023-01-23,C1010,P220,Product 21,Electronics,East,2,278.07,0.0,101.91,556.14,352.32
O10079,2023-01-23,C1017,P212,Product 13,Furniture,West,17,54.4,0.0,27.16,924.8,463.08
O10080,2023-01-25,C1037,P217,Product 18,Software,South,14,311.91,0.15,117.62,3711.73,2065.05
O10081,2023-01-25,C1059,P210,Product 11,Software,South,13,111.71,0.0,77.24,1452.23,448.11
O10082,2023-01-25,C1050,P208,Product 9,Office Supplies,North,8,118.51,0.0,86.83,948.08,253.44
O10083,2023-01-25,C1056,P223,Product 24,Software,North,9,31.6,0.0,19.77,284.4,106.47
O10084,2023-01-26,C1027,P214,Product 15,Electronics,North,16,367.76,0.0,169.05,5884.16,3179.36
O10085,2023-01-26,C1031,P219,Product 20,Software,West,1,459.87,0.0,188.0,459.87,271.87
O10086,2023-01-26,C1032,P227,Product 28,Electronics,North,1,59.97,0.0,24.28,59.97,35.69
O10087,2023-01-26,C1012,P208,Product 9,Office Supplies,East,13,118.51,0.0,86.83,1540.63,411.84
O10088,2023-01-27,C1038,P221,Product 22,Office Supplies,East,7,26.26,0.0,15.92,183.82,72.38
O10089,2023-01-27,C1014,P225,Product 26,Furniture,South,14,213.13,0.0,73.51,2983.82,1954.68
O10090,2023-01-28,C1010,P209,Product 10,Office Supplies,East,12,309.61,0.0,108.59,3715.32,2412.24
O10091,2023-01-28,C1008,P228,Product 29,Electronics,East,3,253.39,0.05,88.43,722.16,456.87
O10092,2023-01-28,C1040,P208,Product 9,Office Supplies,West,7,118.51,0.0,86.83,829.57,221.76
O10093,2023-01-28,C1049,P217,Product 18,Software,West,12,311.91,0.05,117.62,3555.77,2144.33
O10094,2023-01-28,C1006,P219,Product 20,Software,West,15,459.87,0.05,188.0,6553.15,3733.15
O10095,2023-01-28,C1057,P210,Product 11,Software,South,16,111.71,0.0,77.24,1787.36,551.52
O10096,2023-01-28,C1059,P225,Product 26,Furniture,South,3,213.13,0.0,73.51,639.39,418.86
O10097,2023-01-28,C1053,P209,Product 10,Office Supplies,West,14,309.61,0.0,108.59,4334.54,2814.28
O10098,2023-01-29,C1050,P211,Product 12,Office Supplies,North,13,437.23,0.0,150.23,5683.99,3731.0
O10099,2023-01-29,C1035,P225,Product 26,Furniture,East,19,213.13,0.15,73.51,3442.05,2045.36
O10100,2023-01-29,C1052,P212,Product 13,Furniture,West,8,54.4,0.05,27.16,413.44,196.16
O10101,2023-02-02,C1017,P218,Product 19,Office Supplies,West,12,203.65,0.0,85.36,2443.8,1419.48
O10102,2023-02-02,C1040,P218,Product 19,Office Supplies,West,5,203.65,0.15,85.36,865.51,438.71
O10103,2023-02-02,C1050,P226,Product 27,Office Supplies,North,3,127.24,0.0,100.11,381.72,81.39
O10104,2023-02-02,C1011,P228,Product 29,Electronics,West,15,253.39,0.0,88.43,3800.85,2474.4
